age,bmi,bmi_category,gender,activity_level,diet_type,goal,health_condition,calorie_target,protein_requirement,carbs_limit,fat_limit,recommended_food
25,26.4,overweight,female,high,vegan,weight_loss,hypertension,1868,60,277,57,Tofu Stir Fry #6
32,35.6,obese,male,medium,vegan,weight_loss,diabetes,1502,90,161,71,Tofu Stir Fry
19,24.1,normal,male,low,normal,weight_loss,hypertension,1513,64,291,65,Grilled Chicken Bowl
48,23.1,normal,male,low,normal,muscle_gain,diabetes,2686,131,159,82,Grilled Chicken Bowl
54,29.4,overweight,female,medium,normal,weight_loss,hypertension,1780,69,241,80,Grilled Chicken Bowl
50,23.6,normal,female,medium,normal,maintain,normal,1976,66,295,50,Grilled Chicken Bowl
20,31.8,obese,male,high,normal,weight_loss,obesity,1750,84,294,51,Grilled Chicken Bowl
39,22.6,normal,female,high,normal,maintain,hypertension,1910,61,253,62,Grilled Chicken Bowl
41,34.0,obese,female,medium,vegan,muscle_gain,obesity,2615,131,198,64,Tofu Stir Fry #6
20,28.4,overweight,female,low,vegan,weight_loss,normal,1802,96,252,61,Tofu Stir Fry
45,23.9,normal,male,medium,high_protein,maintain,hypertension,2215,99,272,78,Grilled Chicken Bowl
39,21.1,normal,female,low,vegan,muscle_gain,diabetes,2520,92,138,72,Tofu Stir Fry #2
25,28.2,overweight,female,high,veg,maintain,obesity,2040,84,203,55,Greek Yogurt Bowl
46,24.8,normal,male,high,veg,weight_loss,obesity,1746,81,281,54,Tofu Stir Fry
27,21.5,normal,female,medium,normal,maintain,hypertension,1931,71,188,75,Grilled Chicken Bowl
49,35.7,obese,male,high,normal,weight_loss,hypertension,1708,88,183,53,Grilled Chicken Bowl
30,31.2,obese,female,low,normal,maintain,hypertension,2016,61,195,69,Grilled Chicken Bowl
53,20.9,normal,male,medium,vegan,weight_loss,hypertension,1594,64,194,55,Tofu Stir Fry #6
39,21.6,normal,male,high,veg,weight_loss,diabetes,1575,88,140,63,Tofu Stir Fry
24,34.6,obese,male,high,high_protein,maintain,hypertension,1969,98,280,75,Grilled Chicken Bowl
